Filename,Timestamp,Words_Out_of_Order,Longest_Consecutive_Count,Count_of_Audible_Words
09-30-2021 03-26-07.wav,2023-10-03 23:19:23.705997,True,0,1
09-30-2021 01-32-31.wav,2023-10-03 23:19:26.610379,False,0,0
09-29-2021 23-31-43.wav,2023-10-03 23:19:29.700752,False,0,0
09-30-2021 03-34-07.wav,2023-10-03 23:19:38.751509,True,0,1
09-30-2021 02-07-43.wav,2023-10-03 23:19:46.518097,False,10,10
09-30-2021 00-57-19.wav,2023-10-03 23:19:49.412193,False,0,0
09-30-2021 00-30-55.wav,2023-10-03 23:19:52.296555,False,0,0
09-30-2021 02-19-43.wav,2023-10-03 23:19:55.717568,False,10,10
09-30-2021 00-49-19.wav,2023-10-03 23:20:02.766805,False,0,0
09-30-2021 03-05-19.wav,2023-10-03 23:20:06.200844,False,10,10
09-30-2021 01-55-43.wav,2023-10-03 23:20:09.602642,False,10,10
09-29-2021 23-56-31.wav,2023-10-03 23:20:12.995748,False,10,10
09-30-2021 01-59-43.wav,2023-10-03 23:20:20.761414,False,10,10
09-30-2021 03-09-19.wav,2023-10-03 23:20:24.088381,False,10,10
09-30-2021 00-45-19.wav,2023-10-03 23:20:27.574291,False,10,10
09-30-2021 02-15-43.wav,2023-10-03 23:20:30.757012,True,0,1
09-30-2021 00-22-55.wav,2023-10-03 23:20:54.413566,True,0,1
09-30-2021 01-47-43.wav,2023-10-03 23:20:57.718815,True,0,5
09-30-2021 03-17-19.wav,2023-10-03 23:21:01.101070,False,10,10
09-30-2021 02-23-43.wav,2023-10-03 23:21:04.431906,False,9,9
09-30-2021 00-14-55.wav,2023-10-03 23:21:12.198787,False,10,10
09-30-2021 03-21-19.wav,2023-10-03 23:21:15.592869,False,10,10
09-30-2021 02-31-43.wav,2023-10-03 23:21:18.978843,False,10,10
09-30-2021 00-06-55.wav,2023-10-03 23:21:22.386776,False,10,10
09-30-2021 03-33-19.wav,2023-10-03 23:21:29.748365,False,10,10
09-30-2021 00-18-55.wav,2023-10-03 23:21:33.157725,False,10,10
09-30-2021 03-12-31.wav,2023-10-03 23:21:36.557204,False,10,10
09-30-2021 02-46-07.wav,2023-10-03 23:21:39.973905,False,10,10
09-29-2021 23-26-55.wav,2023-10-03 23:21:46.440313,False,0,0
09-30-2021 00-40-31.wav,2023-10-03 23:21:49.833309,False,10,10
09-30-2021 02-58-07.wav,2023-10-03 23:21:58.820206,True,0,1
09-30-2021 01-14-07.wav,2023-10-03 23:22:02.261049,False,10,10
09-30-2021 01-18-07.wav,2023-10-03 23:22:15.244778,True,0,1
09-30-2021 03-00-31.wav,2023-10-03 23:22:46.138586,True,0,1
09-29-2021 23-53-19.wav,2023-10-03 23:22:49.554070,False,10,10
09-30-2021 02-54-07.wav,2023-10-03 23:22:52.935102,False,10,10
09-30-2021 00-52-31.wav,2023-10-03 23:23:06.349408,True,0,1
09-30-2021 01-06-07.wav,2023-10-03 23:23:35.539609,False,0,0
09-30-2021 03-28-31.wav,2023-10-03 23:23:38.938460,False,10,10
09-30-2021 01-30-07.wav,2023-10-03 23:23:41.839122,False,0,0
09-30-2021 03-24-31.wav,2023-10-03 23:23:57.295284,True,0,1
09-30-2021 01-22-07.wav,2023-10-03 23:24:00.457415,False,0,0
09-30-2021 02-41-19.wav,2023-10-03 23:24:03.748225,True,6,7
09-30-2021 00-11-43.wav,2023-10-03 23:24:06.655350,False,0,0
09-30-2021 02-26-55.wav,2023-10-03 23:24:14.155532,False,10,10
09-29-2021 23-58-07.wav,2023-10-03 23:24:17.602497,False,10,10
09-30-2021 01-13-19.wav,2023-10-03 23:24:26.384320,False,0,0
09-30-2021 02-38-55.wav,2023-10-03 23:24:29.774130,False,10,10
09-29-2021 23-54-07.wav,2023-10-03 23:24:37.188409,False,10,10
09-30-2021 00-03-43.wav,2023-10-03 23:24:40.621259,False,10,10
09-30-2021 02-53-19.wav,2023-10-03 23:24:44.025246,False,10,10
09-30-2021 02-34-55.wav,2023-10-03 23:24:47.419974,False,10,10
09-30-2021 01-01-19.wav,2023-10-03 23:24:53.900872,False,0,0
09-30-2021 00-35-43.wav,2023-10-03 23:24:57.325792,False,10,10
09-30-2021 01-29-19.wav,2023-10-03 23:25:20.494977,False,0,0
09-30-2021 02-02-55.wav,2023-10-03 23:25:23.759429,True,7,8
09-30-2021 01-37-19.wav,2023-10-03 23:25:37.239300,False,0,0
